GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0009446	0.022274232109262493	89.94339622641509	0.022397345499792616	1	2	putrescine biosynthetic process
GO:0010447	0.022274232109262493	89.94339622641509	0.022397345499792616	1	2	response to acidic pH
GO:0019499	0.022274232109262493	89.94339622641509	0.022397345499792616	1	2	cyanide metabolic process
GO:0071468	0.022274232109262493	89.94339622641509	0.022397345499792616	1	2	cellular response to acidic pH
GO:0034310	0.022274232109262493	89.94339622641509	0.022397345499792616	1	2	primary alcohol catabolic process
GO:0046439	0.022274232109262493	89.94339622641509	0.022397345499792616	1	2	L-cysteine metabolic process
GO:0019500	0.022274232109262493	89.94339622641509	0.022397345499792616	1	2	cyanide catabolic process
GO:0006068	0.022274232109262493	89.94339622641509	0.022397345499792616	1	2	ethanol catabolic process
GO:0019748	0.024280082467020757	2.9158163265306123	2.262131895479054	6	202	secondary metabolic process
GO:0006582	0.024641996108238147	9.13076923076923	0.24637080049771878	2	22	melanin metabolic process
GO:0009308	0.025385918856028353	5.135076252723311	0.6383243467440896	3	57	amine metabolic process
GO:1901700	0.026797726287859033	8.694139194139193	0.2575694732476151	2	23	response to oxygen-containing compound
GO:1901701	0.026797726287859033	8.694139194139193	0.2575694732476151	2	23	cellular response to oxygen-containing compound
GO:0000272	0.02799270051246736	3.163265306122449	1.7245956034840315	5	154	polysaccharide catabolic process
GO:1901615	0.029387762572638747	3.120016218407893	1.746992948983824	5	156	organic hydroxy compound metabolic process
GO:0009073	0.031328036108829636	7.934782608695652	0.2799668187474077	2	25	aromatic amino acid family biosynthetic process
GO:0009254	0.03322800627235423	44.9622641509434	0.03359601824968893	1	3	peptidoglycan turnover
GO:0015743	0.03322800627235423	44.9622641509434	0.03359601824968893	1	3	malate transport
GO:0071423	0.03322800627235423	44.9622641509434	0.03359601824968893	1	3	malate transmembrane transport
GO:0006528	0.03322800627235423	44.9622641509434	0.03359601824968893	1	3	asparagine metabolic process
GO:1901617	0.03386197181188663	3.5184905660377357	1.231854002488594	4	110	organic hydroxy compound biosynthetic process
GO:0016052	0.03987284007526894	2.5718325791855206	2.542098714226462	6	227	carbohydrate catabolic process
GO:0006508	0.04039538632778398	2.846629560915275	1.9037743674823724	5	170	proteolysis
GO:1901376	0.04140768052367741	4.190730837789661	0.7727084197428453	3	69	organic heteropentacyclic compound metabolic process
GO:1901378	0.04140768052367741	4.190730837789661	0.7727084197428453	3	69	organic heteropentacyclic compound biosynthetic process
GO:0044242	0.04384611526573384	6.510989010989011	0.33596018249688925	2	30	cellular lipid catabolic process
GO:0000162	0.04406130937700059	29.968553459119498	0.04479469099958523	1	4	tryptophan biosynthetic process
GO:0033993	0.04406130937700059	29.968553459119498	0.04479469099958523	1	4	response to lipid
GO:0071396	0.04406130937700059	29.968553459119498	0.04479469099958523	1	4	cellular response to lipid
GO:0097305	0.04406130937700059	29.968553459119498	0.04479469099958523	1	4	response to alcohol
GO:0097306	0.04406130937700059	29.968553459119498	0.04479469099958523	1	4	cellular response to alcohol
GO:0097307	0.04406130937700059	29.968553459119498	0.04479469099958523	1	4	response to farnesol
GO:0097308	0.04406130937700059	29.968553459119498	0.04479469099958523	1	4	cellular response to farnesol
GO:0019433	0.04406130937700059	29.968553459119498	0.04479469099958523	1	4	triglyceride catabolic process
GO:0046461	0.04406130937700059	29.968553459119498	0.04479469099958523	1	4	neutral lipid catabolic process
GO:0046464	0.04406130937700059	29.968553459119498	0.04479469099958523	1	4	acylglycerol catabolic process
GO:0006067	0.04406130937700059	29.968553459119498	0.04479469099958523	1	4	ethanol metabolic process
GO:0046219	0.04406130937700059	29.968553459119498	0.04479469099958523	1	4	indolalkylamine biosynthetic process
GO:0170034	0.046051374434601534	4.005967604433078	0.8063044379925343	3	72	L-amino acid biosynthetic process
GO:0170038	0.046051374434601534	4.005967604433078	0.8063044379925343	3	72	proteinogenic amino acid biosynthetic process
GO:0005976	0.049624295598509165	2.678134110787172	2.0157610949813356	5	180	polysaccharide metabolic process
