# Program:featureCounts v2.0.6; Command:"featureCounts" "-g" "gene_id" "-G" "db/AfumigatusA1163_Genome.fasta" "-s" "0" "-a" "db/AfumigatusA1163_Genes.gtf" "--tmpDir" "/scratch/jstajich/15483333" "-o" "results/read_count_A1163.tsv" "-F" "GTF" "-T" "24" "-M" "Comp_Azole_1.bam" "Comp_Azole_2.bam" "Comp_Azole_3.bam" "Comp_GMM_1.bam" "Comp_GMM_2.bam" "Comp_GMM_3.bam" "Del_Azole_1.bam" "Del_Azole_2.bam" "Del_Azole_3.bam" "Del_GMM_1.bam" "Del_GMM_2.bam" "Del_GMM_3.bam" "OE_Azole_1.bam" "OE_Azole_2.bam" "OE_Azole_3.bam" "OE_GMM_1.bam" "OE_GMM_2.bam" "OE_GMM_3.bam" "WT_Azole_1.bam" "WT_Azole_2.bam" "WT_Azole_3.bam" "WT_GMM_1.bam" "WT_GMM_2.bam" "WT_GMM_3.bam" "-p" 
Geneid	Chr	Start	End	Strand	Length	Comp_Azole_1	Comp_Azole_2	Comp_Azole_3	Comp_GMM_1	Comp_GMM_2	Comp_GMM_3	Del_Azole_1	Del_Azole_2	Del_Azole_3	Del_GMM_1	Del_GMM_2	Del_GMM_3	OE_Azole_1	OE_Azole_2	OE_Azole_3	OE_GMM_1	OE_GMM_2	OE_GMM_3	WT_Azole_1	WT_Azole_2	WT_Azole_3	WT_GMM_1	WT_GMM_2	WT_GMM_3
AFUB_000370-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	108876;108963;109180	108918;109162;110091	+;+;+	1155	678	531	556	129	118	232	376	380	333	146	194	232	579	618	577	192	184	108	674	458	539	50	146	94
AFUB_000380-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	111021;111482	111426;111796	+;+	721	1347	1217	1180	1881	830	1748	742	590	484	1385	1009	844	904	1013	2586	1866	1597	1829	796	502	421	691	596	594
AFUB_000390-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	111906;112052;113118	112004;113065;113390	-;-;-	1386	721	1156	918	505	1493	2217	1752	1978	1380	1280	2757	2388	1154	1103	1045	1212	1196	563	2217	1434	855	798	1778	2083
AFUB_000400-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	114360;114597;114833;115395;115567;115724;115859;116285	114568;114780;115341;115519;115642;115793;116230;117083	+;+;+;+;+;+;+;+	2344	623	818	889	764	1192	1411	1244	1250	1275	1444	1948	1682	1283	1163	1140	1196	989	993	1130	1125	925	1169	1537	1507
AFUB_000410-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	117355;117798	117721;119201	+;+	1771	2681	4163	3438	5504	5610	6446	4506	4375	4310	6572	5571	5940	4895	5124	4694	5839	5444	5759	10446	7281	8196	9807	10867	8285
AFUB_000420-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	119755;122325	122277;123647	+;+	3846	1542	2464	2511	2007	2932	5274	3660	3367	3383	3822	4171	2790	3493	3013	2970	4718	2583	2458	1668	4107	3048	2243	7392	6165
AFUB_000430-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	124598;124713;125057	124648;124996;127210	+;+;+	2489	862	1484	2016	1704	2396	3637	2885	2959	2776	3366	3347	1538	2645	2375	2208	2785	1674	2693	1454	3360	2178	1048	2984	3739
AFUB_000440-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	127400;127630;127910;128163	127574;127840;128103;129660	+;+;+;+	2078	1848	2950	2824	1877	2156	2260	2358	2074	2248	1853	2242	1290	2542	2771	2881	1693	1491	2249	1731	3007	2889	1084	1747	2450
AFUB_000450-T	scf_000001_A_fumigatus_A1163	129896	131422	-	1527	5308	6195	5669	1720	2154	2527	3978	3212	4718	2203	1923	1762	7214	6898	7812	2223	3029	2325	4937	4393	4486	2071	1904	1830
AFUB_000460-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	131773;133064;133525	132996;133394;134128	-;-;-	2159	275	377	277	541	945	1247	1084	928	1121	781	940	557	1251	1093	1153	691	384	354	659	1233	473	188	880	1040
AFUB_000470-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	135543;136109	136052;137537	+;+	1939	160	364	415	356	412	578	348	340	360	674	648	308	508	362	588	502	326	448	173	362	156	270	306	438
AFUB_000480-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	137675;138134;138407	138087;138352;138463	-;-;-	689	65	70	110	156	83	62	60	52	50	90	61	117	103	81	137	73	146	61	76	46	38	144	38	59
AFUB_000490-T	scf_000001_A_fumigatus_A1163	138691	140066	-	1376	2742	2012	1338	1086	1946	1571	1254	986	1351	1062	1026	1307	1532	1760	1524	1855	2271	1850	995	763	1186	1060	1015	896
AFUB_000500-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	140217;140412;141635;142022;142523	140347;141581;141972;142457;143059	+;+;+;+;+	2612	1866	3786	3422	2959	3832	4392	4369	3854	5045	3443	3716	2600	5594	5615	5093	3508	2226	3216	3308	4783	3986	1460	3419	3886
AFUB_000510-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	143290;143863;144024;144381	143631;143948;144319;145137	+;+;+;+	1481	6169	6964	5057	3001	4726	3689	5363	5065	5923	4432	4978	4625	5865	6047	5432	3778	3600	3827	8826	5407	6349	3263	4420	5082
AFUB_000520-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	145538;145863	145588;147284	+;+	1473	771	1331	1400	1505	1547	1812	1467	1349	1637	1505	1492	1298	1246	1469	1349	1681	1286	1341	963	1332	1531	1121	1697	1600
AFUB_000530-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	147908;148214;150718	148139;150645;150843	-;-;-	2790	4530	4657	3020	2384	4383	4977	5294	5126	5515	3394	4615	2462	6181	5272	5662	3701	2349	2864	2653	7386	4700	1427	3691	5722
AFUB_000540-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	151836;152018;152321;152544	151959;152242;152385;152585	-;-;-;-	456	4442	4722	4355	5867	4539	4368	5361	4782	5194	6967	6845	6375	4555	4893	4352	4509	4670	4153	9360	4910	5151	10019	7186	7602
AFUB_000550-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	153053;153435;154442	153374;154379;154811	+;+;+	1637	850	1578	1446	1080	1855	2050	1750	1908	2025	2198	2778	1713	1615	1668	1673	1656	1342	1374	1767	2294	1798	1366	3260	4344
AFUB_000560-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	155045;155243;156217;156456;157274	155185;156166;156406;157211;157464	+;+;+;+;+	2202	87	320	288	421	864	816	774	623	849	654	761	592	948	919	856	561	438	359	598	707	407	230	689	729
AFUB_000570-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	157548;158562;158822	158492;158758;159244	-;-;-	1565	1447	1453	1493	1224	1693	1728	1712	1446	1721	1652	1745	1456	1732	1749	1937	1526	1429	1516	1731	1933	1734	1567	1775	1938
AFUB_000580-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	159700;160152;161375;161644	160097;161321;161593;162490	+;+;+;+	2634	718	1187	1620	1235	1864	2084	1980	1836	2293	1482	1811	1096	2200	2217	2067	1572	1244	1494	928	2735	1663	767	1701	1991
AFUB_000590-T	scf_000001_A_fumigatus_A1163	163292	164521	+	1230	257	412	364	191	350	613	638	692	627	520	607	306	634	610	511	429	236	288	469	698	563	190	543	593
AFUB_000600-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	164735;165923	165835;165991	-;-	1170	213	401	266	371	485	675	775	784	780	539	564	490	690	655	649	435	254	216	593	821	452	152	683	611
AFUB_000610-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	166106;167889	167861;168003	+;+	1871	8498	8896	11891	3873	2851	2297	12387	10588	12357	2219	3165	4130	10284	11977	11127	1880	2398	1955	13900	7670	10295	3120	1781	1598
AFUB_000620-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	168515;168845;169028	168771;168937;169184	-;-;-	507	5414	5549	5972	6791	6332	4741	6546	6169	6120	7257	7714	7875	5983	5595	5884	5613	5218	5456	12029	6328	7346	8877	7548	7263
AFUB_000630-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	169983;171006	170939;171170	-;-	1122	21250	59780	73862	20873	27229	32903	67898	67475	69348	37118	33192	30001	81277	73852	64454	36638	28649	31333	53942	53147	47629	10508	19893	17970
AFUB_000640-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	171320;171600;171731	171446;171641;171888	-;-;-	327	293	133	96	135	71	79	73	69	58	63	58	67	71	92	68	72	84	76	59	58	65	157	77	54
AFUB_000650-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	172092;172196;172866;172947;173046	172140;172809;172882;172995;173297	-;-;-;-;-	981	1993	2215	2530	2390	2687	2560	2502	2034	2417	2307	2584	1719	2675	2866	2527	2218	2173	2823	1549	2170	2334	1422	2180	2193
AFUB_000660-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	174579;175268;175510	175204;175445;175587	-;-;-	882	4170	3890	3385	2872	1706	2671	2047	2156	2114	1683	1864	734	3209	3109	2810	2133	1652	3150	1739	3194	2809	1676	2247	4114
AFUB_000670-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	179073;179275;179589;179757	179178;179533;179718;179984	+;+;+;+	723	113	239	320	137	151	106	189	133	213	51	118	87	307	306	339	111	196	91	156	133	155	154	49	119
AFUB_000680-T	scf_000001_A_fumigatus_A1163	180969	181040	-	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AFUB_000690-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	181014;181960	181907;182526	-;-	1461	8906	11868	22886	1942	2564	1788	9287	7502	13365	1352	1758	1536	16646	17731	16742	1493	1878	1904	7133	13331	17543	950	1288	1181
AFUB_000700-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	184005;185168;185537;185651	185120;185519;185589;186192	+;+;+;+	2063	749	1336	1776	663	840	631	1451	1106	2013	698	599	1121	2230	2176	2239	610	786	434	1878	1312	1640	710	936	433
AFUB_000710-T	scf_000001_A_fumigatus_A1163	187001	188188	-	1188	304	327	370	375	510	614	387	402	376	867	894	862	394	338	357	432	386	396	937	447	476	743	653	534
AFUB_000720-T	scf_000001_A_fumigatus_A1163	189127	190795	+	1669	88	65	73	73	82	126	100	75	76	88	164	175	104	85	95	52	53	53	210	120	117	48	120	102
AFUB_000730-T	scf_000001_A_fumigatus_A1163	190824	193301	+	2478	309	518	380	270	431	468	520	411	467	300	493	460	601	527	444	291	249	341	451	517	455	125	353	258
AFUB_000740-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	193822;194509;194739	194445;194647;194902	-;-;-	927	230	344	368	107	361	455	318	208	231	296	607	461	286	253	198	240	225	229	356	287	253	74	134	136
AFUB_000750-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	196077;197142	197036;198545	-;-	2364	2970	1592	1465	2210	1359	1962	1011	1017	1126	1734	1492	1344	1866	2044	1743	2134	1913	2231	1806	2492	3187	5367	4576	4076
AFUB_000760-T	scf_000001_A_fumigatus_A1163	198684	200216	+	1533	1462	1328	1256	1738	1550	1887	1188	1110	1391	1743	1414	1547	1652	1727	1528	1943	1780	1886	1826	1794	2456	5100	4688	3689
AFUB_000770-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	200512;201133;201493	201085;201424;201589	-;-;-	963	6513	4110	4057	6578	4002	5522	3002	3205	2862	4766	4080	2889	4560	4965	3862	4665	4200	5957	7211	8164	9268	9638	10311	10626
AFUB_000780-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	201944;202479;202970;203309	202411;202861;203238;203586	-;-;-;-	1398	3040	3911	4143	3718	3280	3100	2357	1987	2669	2763	2116	3375	4160	5061	4350	3366	3637	3008	4458	3128	4186	7637	5935	5031
AFUB_000790-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	203952;204219	204156;204739	-;-	726	3004	1600	1332	2661	1562	1245	844	977	896	1233	930	1408	1643	1783	1556	1563	1854	1675	2546	1512	2128	4573	2909	2174
AFUB_000800-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	205042;205704;206376;206499;206772	205644;206279;206444;206712;207123	-;-;-;-;-	1814	5300	4157	3704	4648	4271	5723	3643	3372	3459	4928	4550	4347	4418	4745	4040	4452	4442	4188	5671	5450	6263	7988	9225	8405
AFUB_000810-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	207570;208303;208977;209111;209269;209454	208237;208905;209045;209213;209385;209810	-;-;-;-;-;-	1917	6674	4817	4582	6031	5925	6245	4126	3812	4677	5878	4713	5272	4935	5306	4714	6644	6864	6538	5527	5370	7102	13253	11502	8841
AFUB_000820-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	210196;216636	216581;217626	+;+	7377	610	834	753	1636	2075	2612	1469	1357	1653	2170	1703	1210	1917	1536	1512	1874	961	1449	663	2082	1544	1017	3457	3415
AFUB_000830-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	217766;218096	218039;219908	+;+	2087	5464	5689	5364	9425	7109	8707	5381	4766	5785	6350	6026	5397	5768	5880	5563	7948	7441	8090	5315	7344	8335	6249	11087	11514
AFUB_000840-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	221317;221736;221955;222415	221686;221920;222376;223138	-;-;-;-	1701	923	1156	1181	879	1232	1389	1566	1706	1581	1334	1575	1450	1402	1344	1083	1086	982	1156	1509	1248	1106	1188	1436	1352
