# Program:featureCounts v2.0.6; Command:"featureCounts" "-g" "gene_id" "-G" "db/AfumigatusAf293_Genome.fasta" "-s" "0" "-a" "db/AfumigatusAf293_Genes.gtf" "--tmpDir" "/scratch/jstajich/15483333" "-o" "results/read_count_Af293.tsv" "-F" "GTF" "-T" "24" "-M" "Comp_Azole_1.bam" "Comp_Azole_2.bam" "Comp_Azole_3.bam" "Comp_GMM_1.bam" "Comp_GMM_2.bam" "Comp_GMM_3.bam" "Del_Azole_1.bam" "Del_Azole_2.bam" "Del_Azole_3.bam" "Del_GMM_1.bam" "Del_GMM_2.bam" "Del_GMM_3.bam" "OE_Azole_1.bam" "OE_Azole_2.bam" "OE_Azole_3.bam" "OE_GMM_1.bam" "OE_GMM_2.bam" "OE_GMM_3.bam" "WT_Azole_1.bam" "WT_Azole_2.bam" "WT_Azole_3.bam" "WT_GMM_1.bam" "WT_GMM_2.bam" "WT_GMM_3.bam" "-p" 
Geneid	Chr	Start	End	Strand	Length	Comp_Azole_1	Comp_Azole_2	Comp_Azole_3	Comp_GMM_1	Comp_GMM_2	Comp_GMM_3	Del_Azole_1	Del_Azole_2	Del_Azole_3	Del_GMM_1	Del_GMM_2	Del_GMM_3	OE_Azole_1	OE_Azole_2	OE_Azole_3	OE_GMM_1	OE_GMM_2	OE_GMM_3	WT_Azole_1	WT_Azole_2	WT_Azole_3	WT_GMM_1	WT_GMM_2	WT_GMM_3
Afu1g00310-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	84231;84626;84772;85284;85622	84576;84741;85232;85576;85698	-;-;-;-;-	1293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Afu1g00320-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	87064;87435;87763	87376;87622;87900	+;+;+	639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Afu1g00330-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	88949;89067	89018;89191	+;+	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Afu1g00340-T	Chr1_A_fumigatus_Af293	90835	91227	-	393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Afu1g00350-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	94948;95208;95322;96117;96396	95157;95275;96066;96351;96601	-;-;-;-;-	1464	98	151	208	85	88	118	154	146	186	137	91	78	202	138	199	109	91	67	205	144	117	100	125	207
Afu1g00390-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	117405;118037;119024;120088	117988;118595;119914;120219	-;-;-;-	2166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Afu1g00400-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	128569;128908	128793;129183	+;+	501	10	0	6	1	2	1	1	6	2	5	3	3	1	1	2	3	8	6	1	0	2	9	4	1
Afu1g00410-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	131310;131625;131885;132629;133730	131560;131815;132583;133666;134100	+;+;+;+;+	2550	6	31	20	35	104	110	86	125	128	110	136	61	169	114	136	118	58	64	76	129	43	3	126	144
Afu1g00420-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	135528;135935;136105;136291;136483;136546;136719;136832;137052;137212;137440	135876;136039;136221;136414;136498;136662;136769;136985;137110;137391;137781	+;+;+;+;+;+;+;+;+;+;+	1614	32	156	204	170	287	157	203	168	298	181	251	149	294	298	321	137	173	159	445	428	578	273	414	447
Afu1g00440-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	138359;138662;138835;139503	138596;138757;139442;140093	-;-;-;-	1533	1	16	14	20	23	58	42	29	22	11	30	14	42	44	24	37	17	2	16	24	21	6	11	15
Afu1g00450-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	143117;143546	143488;144466	+;+	1293	399	1199	1153	410	1056	1250	1187	963	1469	469	768	850	1911	1910	1844	1472	1187	958	691	1267	1082	176	918	958
Afu1g00460-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	145247;146544;146723	146438;146628;146969	-;-;-	1524	226	327	186	88	88	117	175	132	172	68	82	52	297	391	333	149	97	111	136	242	194	40	69	123
Afu1g00470-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	148615;149205	149099;150219	+;+	1500	1094	286	190	169	153	140	120	122	114	92	98	107	188	189	198	140	224	226	186	108	288	276	170	152
Afu1g00480-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	150773;151700;151916	151636;151848;151994	-;-;-	1092	1204	2975	2492	697	1758	2277	1748	1577	2264	828	1440	1649	3924	4376	3585	2133	1783	1559	1162	1497	1708	273	924	967
Afu1g00490-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	153030;153279;153434;153569	153204;153382;153505;154648	+;+;+;+	1431	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0
Afu1g00500-T	Chr1_A_fumigatus_Af293	155384	157199	-	1816	534	759	984	743	580	492	678	488	744	743	492	532	837	778	1340	554	637	498	560	444	436	466	476	392
Afu1g00510-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	158014;158216;158415;159714;159971	158164;158296;159653;159889;160063	+;+;+;+;+	1740	415	467	548	604	583	747	649	473	570	1153	857	764	722	670	1020	621	479	393	720	530	427	811	543	523
Afu1g00520-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	160405;160594;162436	160539;162281;163021	+;+;+	2409	13	47	55	24	18	15	34	24	26	25	23	19	51	35	50	14	15	7	43	23	47	29	4	7
Afu1g00530-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	163103;164544	164478;165557	-;-	2390	1270	2389	2114	1500	1692	2259	1768	1667	1590	1307	1514	1040	2072	2494	2344	2003	1520	1791	1358	1642	2126	832	1056	1168
Afu1g00540-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	168081;168326;168602;170039;170625;171174	168130;168444;170008;170339;171063;171287	+;+;+;+;+;+	2430	57	82	77	152	181	163	152	107	121	83	124	150	215	160	202	133	168	71	156	146	81	71	98	107
Afu1g00550-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	177040;177234	177172;179175	+;+	2075	2011	1365	1081	1384	1016	1010	986	1038	936	1028	1143	1475	1106	1229	942	947	1101	794	2057	1002	1009	1387	1244	1324
Afu1g00560-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	180463;181641;181894;182014	181582;181842;181950;182160	+;+;+;+	1526	3432	6103	5506	3204	6146	5463	6526	6280	6726	3572	6579	5726	7776	6504	6248	5655	6811	4036	7181	4348	3382	1408	3174	3828
Afu1g00570-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	182513;183079	183024;184079	-;-	1513	1213	1131	732	892	880	897	948	955	861	860	1109	1081	880	1018	783	700	880	597	1648	767	840	920	788	1170
Afu1g00580-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	184790;184997;185749	184935;185713;186475	+;+;+	1590	4	39	26	69	106	77	85	112	86	64	79	40	98	83	93	38	26	35	41	122	63	3	21	92
Afu1g00590-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	187844;188155;188361;188887;189258;189699;189933;190301;190563;191834	188097;188302;188814;189206;189620;189845;190246;190478;191710;192296	-;-;-;-;-;-;-;-;-;-	3789	17	40	35	110	36	32	32	43	48	22	26	14	48	42	60	28	30	28	34	52	26	24	23	29
Afu1g00610-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	195962;196316;196752;197639	196201;196643;197472;198161	+;+;+;+	1812	448	379	470	277	518	437	366	397	449	289	445	440	450	485	588	367	530	303	701	345	314	396	418	421
Afu1g00620-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	197348;198608	198538;198658	-;-	1242	0	0	0	0	0	2	1	0	2	0	2	0	0	2	0	0	1	1	0	2	0	0	0	0
Afu1g00630-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	199230;200079;200943	199980;200869;202418	+;+;+	3018	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0
Afu1g00640-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	210663;211378	211295;211854	-;-	1110	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Afu1g00650-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	215584;215711	215661;217006	+;+	1374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Afu1g00660-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	218161;218769	218699;219429	+;+	1200	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Afu1g00670-T	Chr1_A_fumigatus_Af293	221860	222075	-	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Afu1g00680-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	226527;226772;228629;228873	226725;227000;228827;229118	+;+;+;+	873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Afu1g00690-T	Chr1_A_fumigatus_Af293	237383	237712	-	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Afu1g00700-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	238508;238788;239899;241436;241880;242203	238683;239796;241314;241823;242127;243054	+;+;+;+;+;+	4089	1	1	3	0	1	0	1	1	1	0	0	4	1	2	1	5	1	4	4	0	1	2	1	2
Afu1g00710-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	243738;243928;244162;244409;244685;244879	243757;244088;244388;244420;244789;244896	-;-;-;-;-;-	543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Afu1g00720-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	246875;247000;247144;247367	246946;247041;247354;247620	-;-;-;-	579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Afu1g00730-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	249319;249469;250658	249415;250322;251350	+;+;+	1644	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Afu1g00740-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	258432;258813;259049	258787;259026;259498	-;-;-	1020	2	3	0	0	0	0	1	1	0	1	1	0	1	0	0	0	0	0	2	0	1	2	0	1
Afu1g00750-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	268868;269880;270543	269796;270493;270616	-;-;-	1617	3157	8142	5713	4576	7493	6345	8073	7422	9270	5313	5864	6744	11833	12187	12500	5806	5826	4521	10289	6980	6760	2923	6168	5902
Afu1g00760-T	Chr1_A_fumigatus_Af293	271231	271587	-	357	2445	1786	1908	3379	1175	690	1119	1065	1388	388	569	985	1454	1486	1157	820	1404	1028	701	590	751	308	270	160
Afu1g00770-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	274858;275052	275004;275465	+;+	561	146	74	68	94	70	84	36	56	53	94	98	145	28	68	40	60	104	70	143	50	110	676	158	125
Afu1g00780-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	277013;277232;277395;277650;277886	277096;277344;277600;277838;277941	+;+;+;+;+	648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Afu1g00790-T	Chr1_A_fumigatus_Af293	287037	291287	-	4251	5	6	9	6	14	13	4	6	7	12	8	23	5	4	2	12	14	11	6	6	7	32	8	5
Afu1g00800-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	296636;296821	296765;297872	+;+	1182	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
Afu1g00810-T	Chr1_A_fumigatus_Af293	306044	306847	-	804	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Afu1g00820-T	Chr1_A_fumigatus_Af293	307828	308409	-	582	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Afu1g00830-T	Chr1_A_fumigatus_Af293	309461	309808	+	348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Afu1g00840-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	310237;310416;311004;311230;312452	310262;310719;311151;312014;313087	+;+;+;+;+	1899	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
Afu1g00850-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	315349;315743	315716;315947	+;+	573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Afu1g00880-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	318305;319781	319746;321716	-;-	3378	0	0	0	0	0	0	0	1	0	2	0	4	0	0	4	0	0	4	0	0	0	0	0	0
Afu1g00890-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	325118;326160;326861;327411;327733;328030	326108;326805;327211;327687;327976;328217	-;-;-;-;-;-	2697	2	1	4	1	4	4	3	0	1	3	0	6	1	1	1	0	4	0	1	0	1	10	0	0
Afu1g00910-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	328785;328900	328813;330274	+;+	1404	0	0	0	2	6	0	0	0	0	0	4	0	4	0	0	0	2	2	0	0	0	3	0	0
Afu1g00920-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	331676;332024;332211;332583	331938;332152;332534;332955	-;-;-;-	1089	1981	1458	1160	378	900	934	907	878	878	868	937	1069	1046	1076	1012	887	932	1041	1648	887	1034	1091	816	916
Afu1g00930-T	Chr1_A_fumigatus_Af293	333683	334717	+	1035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Afu1g00940-T	Chr1_A_fumigatus_Af293	335152	336216	-	1065	0	0	0	0	0	0	2	0	0	0	0	2	0	0	2	0	0	0	4	0	0	0	0	2
Afu1g00950-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	336865;337873	337807;337907	+;+	978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Afu1g00960-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	338106;339364	339332;342000	+;+	3864	429	720	670	424	654	814	794	815	682	579	719	479	806	786	761	482	414	476	524	884	816	611	508	699
Afu1g00970-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	342453;342629;342821;342996;343823;344113	342497;342764;342918;343763;344039;344153	-;-;-;-;-;-	1305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Afu1g00980-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	344953;345160;345263;346174;346476	345054;345202;346145;346397;346714	-;-;-;-;-	1491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Afu1g00990-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	347632;348245	348149;348512	-;-	786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Afu1g01000-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	349732;350536;350648	350475;350593;351003	-;-;-	1158	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Afu1g01010-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	352044;352793;353233;353525;353824;354193;355014;358047	352678;353213;353476;353637;354139;354869;357995;358955	+;+;+;+;+;+;+;+	6297	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	1	0
Afu1g01020-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	370902;372405;374851	372373;374795;375565	-;-;-	4578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Afu1g01030-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	377390;377940;378416;378640;379661;381736;381941	377825;378375;378611;379627;381579;381861;382156	+;+;+;+;+;+;+	4317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Afu1g01040-T	Chr1_A_fumigatus_Af293	382400	383350	-	951	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Afu1g01050-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	385302;385713	385660;386244	-;-	891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Afu1g01070-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	390761;391137;391258	391091;391188;391294	-;-;-	420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Afu1g01080-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	391423;391538	391480;391941	-;-	462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Afu1g01090-T	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	392457;392806;392967;393103;393403	392690;392945;393054;393364;393602	-;-;-;-;-	924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Afu1g01100-T	Chr1_A_fumigatus_Af293	394863	395585	-	723	80	31	40	90	77	61	9	24	28	46	57	34	57	46	33	59	37	53	16	22	43	22	16	20
